Name,Date of Birth,From,To,Flight Date,Flight Time,Booking Date,Class,Fare
Mr. MG69 MS30,1972-10-02,Patna,Hyderabad,2016-04-05,15:40,2016-03-19,Economy,5296.03
Dr. MG58 MS36,1965-02-28,Chennai,Kolkata,2016-10-10,21:00,2016-09-14,Business,15672.33
Dr. MG22 MS9,1948-05-30,Delhi,Mumbai,2016-04-13,14:20,2016-03-13,Economy,3844.17
Mrs. FG90 FS42,1966-06-01,Mumbai,Chennai,2016-07-18,19:20,2016-07-04,Economy,4217.53
Miss FG36 FS92,1987-01-31,Lucknow,Hyderabad,2016-01-04,17:10,2015-11-07,Economy,4723.0
Mr. MG30 MS9,1989-06-24,Delhi,Kolkata,2016-03-26,08:10,2016-03-26,Economy,8135.61
Miss FG93 FS47,2001-04-13,Chennai,Delhi,2016-05-02,16:40,2016-04-14,Business,13616.23
Dr. MG12 MS24,1945-05-21,Delhi,Patna,2016-05-11,03:00,2016-04-06,Economy,3637.48
Dr. MG49 MS73,1944-01-15,Delhi,Patna,2016-02-13,22:30,2015-12-30,Economy,5808.56
Dr. FG94 FS40,1957-11-17,Lucknow,Patna,2016-05-31,22:30,2016-05-31,Economy,4957.7
Mrs. FG91 FS34,1983-04-28,Mumbai,Patna,2016-03-23,17:30,2016-03-17,Economy,6952.11
Dr. MG95 MS60,1949-05-03,Chennai,Mumbai,2016-09-08,01:20,2016-08-16,Business,13241.77
Mr. MG43 MS25,1948-03-13,Lucknow,Delhi,2016-05-20,19:20,2016-04-22,Business,4526.1
Miss FG0 FS71,1993-08-29,Delhi,Chennai,2016-08-16,23:30,2016-07-16,Business,13200.21
Dr. MG18 MS33,1965-01-20,Delhi,Mumbai,2016-03-17,00:20,2016-02-05,Business,10624.62
Miss FG72 FS22,1985-04-07,Chennai,Kolkata,2016-04-04,06:10,2016-03-14,Economy,4268.98
Mr. MG80 MS79,1996-04-18,Lucknow,Mumbai,2016-09-17,23:20,2016-08-29,Economy,5532.78
Mrs. FG30 FS2,1986-10-20,Kolkata,Delhi,2016-01-03,15:40,2016-01-01,Economy,7648.39
Mrs. FG57 FS67,1986-03-21,Lucknow,Delhi,2016-05-26,15:40,2016-05-09,Economy,2170.65
Dr. FG20 FS35,1955-05-11,Patna,Hyderabad,2016-05-13,07:50,2016-04-27,Economy,7362.73
Dr. MG35 MS43,1955-07-22,Delhi,Mumbai,2016-12-28,20:30,2016-12-19,Economy,6059.07
Dr. FG93 FS40,1942-07-25,Patna,Delhi,2016-05-13,23:30,2016-04-18,Business,10301.93
Dr. MG7 MS25,1963-11-16,Lucknow,Chennai,2016-03-07,08:40,2016-02-16,Economy,10207.6
Mrs. FG81 FS38,1962-10-20,Chennai,Patna,2016-04-03,20:20,2016-03-13,Economy,13350.06
Mr. MG29 MS57,1997-06-08,Delhi,Mumbai,2016-04-13,09:50,2016-03-29,Economy,2993.79
Mr. MG8 MS93,1988-12-14,Chennai,Delhi,2016-05-04,03:20,2016-04-14,Economy,5696.35
Dr. FG82 FS60,1945-12-05,Lucknow,Kolkata,2016-02-25,06:40,2016-01-18,Economy,5403.75
Mrs. FG38 FS66,1975-03-29,Kolkata,Lucknow,2016-09-21,17:20,2016-09-13,Economy,5610.25
Mr. MG25 MS84,1954-08-27,Hyderabad,Kolkata,2016-09-19,16:20,2016-09-07,Economy,3499.89
Miss FG28 FS93,1996-07-31,Hyderabad,Lucknow,2016-09-24,06:50,2016-09-16,Business,22012.98
Dr. MG75 MS54,1960-12-01,Mumbai,Delhi,2016-06-25,12:20,2016-06-12,Economy,6873.21
Dr. MG62 MS34,1961-01-31,Hyderabad,Mumbai,2016-11-29,16:50,2016-11-13,Economy,6877.27
Dr. MG31 MS5,1954-11-11,Hyderabad,Delhi,2016-11-27,13:10,2016-11-22,Economy,16892.4
Dr. FG11 FS31,1936-03-21,Hyderabad,Delhi,2016-01-27,09:50,2015-12-28,Economy,7880.11
Mr. MG88 MS31,1974-03-04,Mumbai,Delhi,2016-01-12,19:40,2015-12-19,Business,8844.41
Dr. FG28 FS98,1935-10-25,Chennai,Delhi,2016-02-18,17:40,2016-01-29,Economy,7930.35
Dr. MG64 MS65,1943-06-23,Patna,Chennai,2016-12-16,15:10,2016-11-14,Economy,10582.22
Dr. FG41 FS68,1940-01-08,Hyderabad,Mumbai,2016-03-10,20:00,2016-03-09,Business,33401.12
Dr. MG36 MS22,1978-06-27,Chennai,Mumbai,2016-04-12,15:20,2016-04-10,Economy,11506.65
Dr. MG71 MS40,1959-09-03,Mumbai,Lucknow,2016-11-04,14:00,2016-08-26,Economy,5396.46
Mrs. FG85 FS67,1950-07-07,Mumbai,Hyderabad,2016-02-08,01:10,2016-02-04,Economy,6115.03
Mr. MG36 MS40,1986-11-02,Patna,Lucknow,2016-07-31,16:20,2016-06-29,Economy,2384.71
Dr. MG50 MS6,1945-02-28,Mumbai,Kolkata,2016-07-14,17:20,2016-06-13,Economy,5172.59
Dr. FG81 FS67,1978-05-27,Lucknow,Delhi,2016-08-02,14:00,2016-07-03,Economy,2876.8
Miss FG60 FS99,1981-01-16,Mumbai,Lucknow,2016-03-25,12:00,2016-03-16,Economy,5267.35
Dr. MG60 MS98,1978-04-05,Chennai,Mumbai,2016-11-12,13:20,2016-10-14,Business,24506.49
Dr. MG91 MS36,1980-05-20,Delhi,Kolkata,2016-02-25,15:20,2016-02-21,Economy,7549.17
Miss FG31 FS48,2005-06-25,Hyderabad,Patna,2016-07-24,05:50,2016-07-07,Economy,6712.95
Miss FG34 FS20,2004-03-18,Mumbai,Lucknow,2016-06-27,16:30,2016-06-20,Business,12425.57
Mr. MG27 MS34,1962-08-17,Delhi,Mumbai,2016-06-11,16:30,2016-05-14,Economy,4116.5
Dr. FG94 FS75,1985-07-12,Kolkata,Patna,2016-12-02,14:10,2016-12-01,Business,20613.81
Miss FG81 FS90,2004-04-04,Kolkata,Mumbai,2016-09-07,15:10,2016-08-16,Economy,3648.57
Dr. MG7 MS81,1935-06-28,Hyderabad,Delhi,2016-05-09,22:00,2016-04-19,Economy,7397.65
Miss FG44 FS69,1981-07-09,Lucknow,Hyderabad,2016-09-23,20:10,2016-08-28,Economy,6385.63
Dr. FG40 FS38,1944-01-29,Patna,Lucknow,2016-01-27,09:40,2016-01-19,Economy,4273.49
Dr. MG4 MS10,1981-12-09,Hyderabad,Delhi,2016-04-19,13:00,2016-04-12,Economy,11984.29
Dr. FG51 FS66,1942-10-22,Hyderabad,Chennai,2016-02-12,15:10,2016-01-06,Economy,2354.01
Dr. FG95 FS61,1958-07-29,Mumbai,Hyderabad,2016-09-03,02:00,2016-08-18,Economy,9466.71
Dr. MG57 MS26,1960-07-27,Hyderabad,Patna,2016-04-12,16:40,2016-03-05,Economy,6342.35
Mr. MG84 MS9,1979-02-20,Patna,Kolkata,2016-08-05,16:50,2016-06-24,Economy,3429.38
Mr. MG35 MS84,2003-02-25,Mumbai,Hyderabad,2016-02-23,16:40,2016-02-11,Economy,4368.6
Dr. FG19 FS62,1967-06-04,Kolkata,Mumbai,2016-05-07,17:20,2016-04-10,Business,22366.32
Miss FG74 FS19,1988-09-13,Lucknow,Delhi,2016-08-01,02:50,2016-07-11,Business,4652.05
Dr. MG40 MS50,1939-11-06,Mumbai,Delhi,2016-07-19,08:50,2016-07-11,Economy,5714.56
Dr. MG13 MS41,1985-10-18,Delhi,Lucknow,2016-08-21,07:40,2016-07-20,Economy,4181.69
Mrs. FG18 FS37,1981-02-14,Delhi,Lucknow,2016-04-15,07:10,2016-02-16,Economy,1911.66
Mr. MG91 MS43,1978-09-22,Mumbai,Delhi,2016-09-13,08:40,2016-08-31,Economy,3707.86
Dr. MG61 MS0,1946-06-23,Lucknow,Mumbai,2016-03-21,23:20,2016-02-05,Business,12874.83
Miss FG11 FS72,1996-02-21,Delhi,Lucknow,2016-06-18,19:00,2016-06-05,Economy,3178.97
Mrs. FG63 FS94,1956-04-26,Hyderabad,Delhi,2016-01-31,18:20,2015-12-28,Economy,7023.68
Dr. MG59 MS1,1958-07-19,Kolkata,Mumbai,2016-02-16,20:50,2016-01-20,Economy,6385.52
Miss FG97 FS20,1995-12-29,Patna,Mumbai,2016-10-12,07:20,2016-09-12,Economy,4388.83
Dr. FG54 FS30,1964-05-12,Lucknow,Chennai,2016-08-19,06:50,2016-08-10,Economy,12679.01
Miss FG95 FS67,1994-01-11,Delhi,Mumbai,2016-05-26,19:00,2016-05-06,Economy,3118.07
Dr. FG97 FS7,1984-04-28,Mumbai,Delhi,2016-09-27,15:30,2016-09-11,Business,12058.21
Mr. MG54 MS99,2005-05-25,Patna,Delhi,2016-01-30,09:10,2016-01-15,Economy,4816.41
Miss FG77 FS66,2002-03-07,Kolkata,Chennai,2016-12-18,18:40,2016-11-12,Economy,5124.59
Dr. MG6 MS19,1974-02-15,Delhi,Patna,2016-07-12,16:20,2016-06-17,Economy,4876.31
Dr. FG77 FS60,1941-07-03,Patna,Delhi,2016-01-30,08:30,2016-01-19,Economy,7400.68
Dr. MG44 MS97,1946-09-06,Lucknow,Mumbai,2016-09-04,15:40,2016-08-09,Economy,7964.07
Dr. MG70 MS23,1935-11-24,Lucknow,Mumbai,2016-03-14,14:20,2016-02-03,Economy,4955.42
Miss FG62 FS34,1987-03-12,Lucknow,Kolkata,2016-09-22,14:40,2016-08-17,Business,9247.82
Mr. MG99 MS86,1986-05-19,Lucknow,Delhi,2016-11-06,12:50,2016-10-09,Economy,3012.56
Mr. MG46 MS66,2003-09-12,Mumbai,Chennai,2016-12-20,02:30,2016-12-09,Economy,4509.42
Dr. MG60 MS85,1980-09-05,Chennai,Delhi,2016-06-07,11:00,2016-05-08,Economy,9314.78
Mrs. FG60 FS16,1990-07-30,Hyderabad,Delhi,2016-05-08,18:40,2016-04-20,Economy,7774.05
Mr. MG91 MS10,1951-01-21,Hyderabad,Lucknow,2016-11-03,09:50,2016-10-16,Business,12423.88
Dr. MG72 MS97,1960-07-19,Mumbai,Delhi,2016-11-27,18:30,2016-10-10,Business,14954.13
Mrs. FG19 FS15,1955-04-22,Lucknow,Delhi,2016-09-26,09:00,2016-09-07,Economy,2134.92
Mr. MG30 MS4,1955-11-04,Chennai,Kolkata,2016-04-26,23:30,2016-04-17,Economy,4441.52
Mrs. FG36 FS31,1941-11-06,Mumbai,Chennai,2016-03-22,04:50,2016-03-10,Business,10444.97
Miss FG40 FS71,2001-10-14,Lucknow,Delhi,2016-12-06,16:00,2016-11-28,Economy,2080.1
Dr. MG57 MS5,1983-08-20,Hyderabad,Chennai,2016-05-09,07:00,2016-04-11,Economy,2774.19
Miss FG5 FS90,1985-01-04,Delhi,Mumbai,2016-09-01,18:00,2016-08-25,Economy,3887.22
Mr. MG94 MS93,1976-12-15,Mumbai,Kolkata,2016-04-20,15:30,2016-04-10,Economy,5627.61
Miss FG6 FS90,1990-11-05,Patna,Chennai,2016-08-15,20:50,2016-07-23,Economy,8898.51
Dr. MG11 MS94,1973-08-23,Lucknow,Delhi,2016-12-23,19:20,2016-11-30,Economy,3441.31
Dr. FG74 FS52,1973-09-21,Mumbai,Patna,2016-10-02,16:30,2016-09-18,Economy,14022.68
Miss FG7 FS78,1985-02-17,Lucknow,Mumbai,2016-06-12,15:20,2016-04-24,Economy,5819.39
Mr. MG75 MS32,1948-05-16,Mumbai,Kolkata,2016-03-26,10:00,2016-02-12,Economy,5295.24
Dr. MG16 MS11,1960-10-04,Hyderabad,Lucknow,2016-06-20,14:40,2016-06-16,Business,27735.21
Mr. MG93 MS60,1975-12-23,Chennai,Delhi,2016-03-12,19:20,2016-01-22,Economy,10248.1
Mr. MG16 MS18,1955-05-11,Chennai,Lucknow,2016-04-21,17:50,2016-04-11,Economy,7741.16
Miss FG93 FS89,1984-05-20,Patna,Lucknow,2016-07-21,12:40,2016-05-17,Economy,2227.26
Dr. FG41 FS47,1969-10-29,Hyderabad,Chennai,2016-03-22,06:30,2016-03-03,Economy,2992.36
Dr. MG91 MS25,1961-07-02,Kolkata,Lucknow,2016-05-08,15:20,2016-04-11,Economy,7796.41
Miss FG78 FS93,1980-02-27,Patna,Kolkata,2016-09-21,15:10,2016-08-20,Economy,3284.13
Mr. MG97 MS26,1995-07-30,Hyderabad,Mumbai,2016-03-28,20:50,2016-02-15,Economy,4535.54
Dr. MG34 MS62,1942-09-28,Mumbai,Delhi,2016-07-29,02:40,2016-07-18,Economy,5106.77
Mr. MG90 MS17,1964-03-31,Delhi,Mumbai,2016-10-18,22:50,2016-09-20,Economy,3020.38
Mrs. FG51 FS83,1941-05-12,Lucknow,Patna,2016-07-24,15:00,2016-06-29,Business,6272.48
Miss FG85 FS16,1999-01-21,Delhi,Lucknow,2016-02-14,23:20,2016-01-04,Economy,2624.04
Miss FG21 FS89,1989-08-12,Delhi,Kolkata,2016-12-17,01:30,2016-10-31,Economy,4149.08
Dr. FG83 FS30,1949-10-14,Lucknow,Mumbai,2016-02-02,10:50,2016-01-14,Business,14548.9
Dr. FG53 FS82,1947-01-25,Mumbai,Lucknow,2016-05-13,19:00,2016-05-06,Economy,8174.62
Mr. MG59 MS25,2003-05-25,Kolkata,Delhi,2016-04-16,11:20,2016-04-15,Economy,7613.12
Dr. FG48 FS87,1946-03-20,Mumbai,Delhi,2016-03-21,04:00,2016-02-22,Economy,3946.79
Mrs. FG64 FS51,1956-08-13,Mumbai,Chennai,2016-07-23,13:30,2016-07-22,Economy,9460.79
Dr. MG93 MS62,1955-07-02,Hyderabad,Patna,2016-05-30,16:40,2016-05-02,Economy,6594.2
Dr. MG57 MS72,1953-10-15,Hyderabad,Delhi,2016-11-14,19:20,2016-10-17,Economy,7572.01
Miss FG75 FS87,1991-01-06,Chennai,Delhi,2016-12-03,14:50,2016-10-24,Economy,7877.08
Dr. MG3 MS85,1969-12-10,Chennai,Mumbai,2016-11-11,20:30,2016-09-19,Business,18190.63
Mrs. FG62 FS93,1954-11-24,Lucknow,Mumbai,2016-02-26,20:50,2016-01-31,Business,10158.67
Dr. FG24 FS6,1962-09-02,Delhi,Lucknow,2016-10-30,23:40,2016-10-25,Economy,6059.06
Mrs. FG52 FS49,1943-11-22,Hyderabad,Delhi,2016-08-04,14:00,2016-07-13,Economy,4719.38
Miss FG41 FS25,1983-05-05,Chennai,Delhi,2016-02-04,03:10,2016-01-03,Business,14572.61
Mr. MG43 MS80,1997-02-11,Hyderabad,Lucknow,2016-10-27,06:50,2016-09-12,Economy,4318.41
Miss FG83 FS16,1983-01-21,Patna,Lucknow,2016-06-15,08:10,2016-06-05,Business,6884.67
Dr. MG59 MS24,1944-07-09,Patna,Chennai,2016-11-30,15:10,2016-11-11,Economy,10874.55
Dr. MG27 MS74,1983-03-14,Mumbai,Chennai,2016-10-29,17:10,2016-09-30,Economy,9039.21
Miss FG68 FS99,1991-09-10,Mumbai,Hyderabad,2016-12-17,22:20,2016-11-07,Economy,5818.32
Mr. MG69 MS50,1977-12-31,Mumbai,Patna,2016-09-19,01:20,2016-07-26,Economy,5182.9
Mrs. FG78 FS86,1977-12-11,Hyderabad,Mumbai,2016-04-01,13:20,2016-03-14,Economy,5064.12
Dr. MG18 MS64,1960-07-20,Lucknow,Mumbai,2016-08-31,16:50,2016-07-13,Business,12902.02
Mr. MG98 MS72,1985-08-18,Delhi,Mumbai,2016-02-10,12:20,2016-02-03,Economy,4116.44
Mrs. FG10 FS29,1943-08-06,Mumbai,Delhi,2016-02-26,17:50,2016-01-31,Economy,2563.26
Mr. MG17 MS82,1984-12-16,Lucknow,Mumbai,2016-08-25,18:20,2016-07-20,Business,9187.6
Dr. FG40 FS82,1949-08-27,Delhi,Lucknow,2016-06-01,13:30,2016-05-12,Business,6865.55
Mr. MG83 MS29,1948-06-15,Patna,Chennai,2016-12-14,20:40,2016-10-30,Economy,8135.67
Mr. MG77 MS68,1986-01-05,Lucknow,Mumbai,2016-06-12,09:00,2016-05-19,Economy,6521.81
Mrs. FG2 FS92,1974-07-02,Mumbai,Lucknow,2016-10-12,12:40,2016-10-10,Business,19431.71
Dr. MG26 MS47,1983-03-04,Lucknow,Delhi,2016-11-22,14:40,2016-10-08,Business,7583.92
Dr. MG79 MS50,1963-08-02,Mumbai,Hyderabad,2016-01-14,12:40,2015-12-18,Economy,6649.94
Miss FG44 FS37,1999-09-16,Delhi,Chennai,2016-05-08,23:50,2016-04-25,Economy,8832.17
Dr. MG24 MS73,1985-09-18,Mumbai,Patna,2016-11-06,08:30,2016-10-03,Economy,11047.36
Miss FG48 FS53,1989-06-10,Chennai,Delhi,2016-05-03,05:10,2016-04-11,Economy,5461.1
Dr. MG19 MS71,1940-07-23,Delhi,Mumbai,2016-02-10,23:10,2016-02-05,Economy,6000.8
Mrs. FG29 FS30,1982-11-25,Lucknow,Mumbai,2016-07-15,11:20,2016-06-09,Economy,4044.57
Dr. MG10 MS85,1952-07-22,Lucknow,Delhi,2016-10-14,17:10,2016-09-18,Economy,2716.05
Mr. MG48 MS44,1996-01-07,Lucknow,Patna,2016-09-20,11:50,2016-09-14,Economy,2562.19
Dr. FG87 FS10,1983-09-17,Hyderabad,Lucknow,2016-11-12,21:00,2016-10-08,Business,29911.37
Miss FG28 FS85,2001-06-25,Patna,Delhi,2016-02-02,19:10,2015-12-10,Economy,2730.52
Mr. MG41 MS45,1982-06-08,Mumbai,Delhi,2016-10-01,02:40,2016-09-21,Economy,6021.28
Dr. FG66 FS51,1941-06-07,Delhi,Lucknow,2016-10-25,23:20,2016-10-21,Business,10582.36
Mrs. FG99 FS31,1990-07-12,Mumbai,Lucknow,2016-06-09,17:30,2016-05-25,Economy,3833.9
Mr. MG43 MS50,1999-08-23,Kolkata,Delhi,2016-12-17,17:50,2016-12-04,Business,11252.2
Mrs. FG91 FS73,1944-06-21,Patna,Delhi,2016-02-20,15:30,2016-02-19,Economy,7447.97
Dr. MG76 MS22,1963-01-21,Patna,Hyderabad,2016-09-14,08:50,2016-09-11,Economy,12189.8
Mr. MG0 MS67,1977-09-03,Mumbai,Delhi,2016-07-26,18:50,2016-06-25,Economy,3272.63
Mr. MG34 MS46,1953-09-29,Chennai,Mumbai,2016-12-21,10:40,2016-11-04,Economy,3554.58
Mrs. FG86 FS91,1956-11-14,Patna,Mumbai,2016-09-26,19:10,2016-08-24,Economy,4741.53
Mrs. FG0 FS11,1958-07-01,Mumbai,Chennai,2016-07-07,04:00,2016-05-09,Business,8491.27
Miss FG16 FS92,1985-09-23,Delhi,Mumbai,2016-02-09,10:20,2016-01-30,Economy,3590.12
Miss FG3 FS91,2000-04-13,Kolkata,Mumbai,2016-02-21,18:40,2016-02-03,Business,13499.8
Dr. FG27 FS3,1972-03-20,Patna,Mumbai,2016-04-20,11:00,2016-04-05,Economy,8650.35
Dr. MG43 MS12,1969-09-09,Delhi,Lucknow,2016-04-25,08:20,2016-04-03,Economy,3408.38
Mr. MG58 MS94,1965-07-03,Lucknow,Delhi,2016-03-13,15:50,2016-02-25,Economy,3104.31
Dr. MG61 MS34,1982-12-13,Delhi,Patna,2016-11-05,18:20,2016-09-23,Economy,6838.26
Dr. FG71 FS58,1935-04-25,Delhi,Kolkata,2016-01-30,08:20,2016-01-16,Economy,7332.19
Mrs. FG96 FS54,1945-10-06,Kolkata,Chennai,2016-06-29,01:30,2016-06-04,Economy,3642.89
Dr. MG73 MS88,1948-12-18,Delhi,Lucknow,2016-10-15,16:10,2016-10-14,Business,18565.36
Miss FG60 FS10,2004-01-20,Delhi,Lucknow,2016-07-21,12:10,2016-07-01,Business,4416.9
Miss FG8 FS12,1986-02-19,Delhi,Patna,2016-10-19,09:30,2016-10-01,Economy,3656.78
Dr. FG3 FS47,1975-10-22,Lucknow,Kolkata,2016-10-03,13:10,2016-08-30,Economy,6808.57
Miss FG87 FS10,1981-01-22,Patna,Lucknow,2016-03-13,00:30,2016-02-20,Economy,3099.49
Dr. MG88 MS2,1982-10-17,Kolkata,Delhi,2016-08-21,11:30,2016-08-10,Economy,8228.01
